question_id,question,gold_answer,predicted_answer,has_gold_answer,predicted_no_answer,em,f1,reader_confidence,no_answer_score,best_span_score,score_margin,error_type
0001-0001-0001,Paris đạt được thành quả gì sau khỏang 4 thế kỷ tính từ ngày Cách mạng Pháp diễn ra?,"trở thành một trong những trung tâm văn hóa của thế giới, thủ đô của nghệ thuật và giải trí",,True,True,0,0.0,0.212133,13.121163368225098,-2.9493608474731445,-13.121163368225098,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0002,Vị trí địa lý của Pháp có gì đặc biệt?,,,False,True,1,1.0,0.236611,11.713478446006775,-1.5605090856552124,-11.713478446006775,CORRECT_NO_ANSWER
0001-0001-0003,Kinh tế xung quanh kinh đô ánh sáng mạnh về gì?,giáo dục và nghệ thuật,,True,True,0,0.0,0.41931,3.256084442138672,6.88983154296875,-3.256084442138672,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0004,Cuộc cách mạng Pháp diễn ra ở đâu?,Paris,,True,True,0,0.0,0.339641,6.648950099945068,3.488860607147217,-6.648950099945068,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0005,Kinh đô ánh sáng nổi tiếng về lĩnh vực gì?,nghệ thuật và giải trí,,True,True,0,0.0,0.448085,2.084095001220703,8.036087989807129,-2.084095001220703,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0006,Paris là một thành phố quan trọng của nước Pháp bắt đầu từ thời gian nào?,thế kỷ 10,,True,True,0,0.0,0.392157,4.382551193237305,5.75922966003418,-4.382551193237305,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0007,Vị trí địa lý của Paris có gì đặc biệt?,nằm ở điểm gặp nhau của các hành trình thương mại đường bộ và đường sông,,True,True,0,0.0,0.249276,11.024749875068665,-0.8699408769607544,-11.024749875068665,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0001,Điều gì đã nói lên Paris là thành phố lý tưởng để khách du lịch?,Kinh đô ánh sáng,,True,True,0,0.0,0.431773,2.746216297149658,7.385440349578857,-2.746216297149658,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0002,Người ta đến với Paris vì điều gì?,"Sự nhộn nhịp, các công trình kiến trúc và không khí nghệ sĩ",,True,True,0,0.0,0.380794,4.86179256439209,5.291274070739746,-4.86179256439209,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0003,Điều gì đã nói lên New York là thành phố lý tưởng để khách du lịch?,,,False,True,1,1.0,0.349193,6.225881099700928,3.932772159576416,-6.225881099700928,CORRECT_NO_ANSWER
0001-0002-0004,Điều gì đã khiến tòan cầu trở thành nơi trung chuyển trên Paris?,,,False,True,1,1.0,0.459222,1.634744644165039,8.512962341308594,-1.634744644165039,CORRECT_NO_ANSWER
0001-0002-0005,Kinh đô ánh sáng nổi tiếng như thế nào trong lĩnh vực thời trang mua sắm?,Thành phố còn được xem như kinh đô của thời trang cao cấp với nhiều khu phố xa xỉ cùng các trung tâm thương mại lớn,,True,True,0,0.0,0.368471,5.387814521789551,4.770169258117676,-5.387814521789551,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0006,Điều gì đã khiến Paris trở thành nơi trung chuyển trên tòan cầu?,"Là nơi đặt trụ sở chính của các tổ chức quốc tế như OECD, UNESCO... cộng với những họat động đa dạng về tài chính, kinh doanh, chính trị và du lịch",,True,True,0,0.0,0.455589,1.781142234802246,8.3654146194458,-1.781142234802246,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0007,"Trụ sở chính của UNESCO được đặt tại thành phố nào trong số bốn ""thành phố tòan cầu""?",Paris,,True,True,0,0.0,0.512845,-0.5139245986938477,10.560078620910645,0.5139245986938477,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0008,"Ngòai Paris, còn có thành phố nào được đánh giá là thành phố tòan cầu?","New York, Luân Đôn và Tokyo",,True,True,0,0.0,0.463113,1.4781837463378906,8.670650482177734,-1.4781837463378906,ANSWERABLE_PREDICTED_EMPTY
0001-0003-0001,"Trước thế kỷ 17, tại Paris các nơi công cộng thiếu ánh đèn buổi tuối thường có hiện tượng gì?",nhiều tệ nạn,,True,True,0,0.0,0.290441,8.932447671890259,1.2255017757415771,-8.932447671890259,ANSWERABLE_PREDICTED_EMPTY
0001-0003-0002,Kinh đô ánh sáng dịch từ tiếng Pháp sang tiếng Anh chính xác là gì?,The City of Lights,,True,True,0,0.0,0.42563,2.9970407485961914,7.130603790283203,-2.9970407485961914,ANSWERABLE_PREDICTED_EMPTY
0001-0003-0003,Tên gọi The City of Lights bắt nguồn từ sự việc gì?,"cuối thế kỷ 17, trung tướng cảnh sát đầu tiên của Paris Gabriel Nicolas de La Reynie ra lệnh thắp sáng những khu vực công cộng nhiều tệ nạn của thành phố",,True,True,0,0.0,0.466658,1.3356809616088867,8.77514934539795,-1.3356809616088867,ANSWERABLE_PREDICTED_EMPTY
0001-0003-0004,Tên gọi Pháp bắt nguồn từ sự việc gì?,,,False,True,1,1.0,0.469516,1.220890998840332,8.895853996276855,-1.220890998840332,CORRECT_NO_ANSWER
0001-0003-0005,Người dân trên thế giới thường gọi Paris với tên khác là gì?,Kinh đô ánh sáng,,True,True,0,0.0,0.420773,3.196004867553711,6.878833770751953,-3.196004867553711,ANSWERABLE_PREDICTED_EMPTY
0001-0004-0001,Làm sao để chuyển tên thành phố thủ đô nước Pháp thành danh từ dùng để chỉ người dân của thành phố này?,thêm hai chữ a và d,,True,True,0,0.0,0.391246,4.420793533325195,5.620744705200195,-4.420793533325195,ANSWERABLE_PREDICTED_EMPTY
0001-0004-0002,Hai thành phố nào được gọi là thành phố của tình yêu?,"Venezia, Paris",,True,True,0,0.0,0.488062,0.47762489318847656,9.650762557983398,-0.47762489318847656,ANSWERABLE_PREDICTED_EMPTY
0001-0004-0003,Thành phố nào được gọi là thành phố của Hai tình yêu?,,,False,True,1,1.0,0.496045,0.15819931030273438,9.898475646972656,-0.15819931030273438,CORRECT_NO_ANSWER
0001-0005-0001,Nguồn gốc tên gọi Paname bắt nguồn từ đâu?,những chiếc mũ panama,,True,True,0,0.0,0.317267,7.663588047027588,2.488675594329834,-7.663588047027588,ANSWERABLE_PREDICTED_EMPTY
0001-0005-0002,Nguồn gốc tên gọi Mỹ bắt nguồn từ đâu?,,,False,True,1,1.0,0.285889,9.154358386993408,1.003140926361084,-9.154358386993408,CORRECT_NO_ANSWER
0001-0005-0003,"Ngọai trừ cái tên Paname, Paris còn có tên gọi khác là gì?",Pantruche,,True,True,0,0.0,0.332721,6.959040880203247,3.1891238689422607,-6.959040880203247,ANSWERABLE_PREDICTED_EMPTY
0001-0006-0001,Con sông nào nằm phía nam Paris?,,,False,True,1,1.0,0.492888,0.28450775146484375,9.854236602783203,-0.28450775146484375,CORRECT_NO_ANSWER
0001-0006-0002,Công trình nào nằm trên đỉnh Montmartre?,nhà thờ Saint-Pierre,,True,True,0,0.0,0.46662,1.3372011184692383,8.77963638305664,-1.3372011184692383,ANSWERABLE_PREDICTED_EMPTY
0001-0006-0003,Hai nằm giữa Paris trên dòng sông Sen có tên là gì?,Île de la Cité ở phía tây và Île Saint-Louis ở phía đông,,True,True,0,0.0,0.415503,3.412604331970215,6.744891166687012,-3.412604331970215,ANSWERABLE_PREDICTED_EMPTY
0001-0006-0004,Con sông nào nằm trong lòng Paris?,Seine,,True,True,0,0.0,0.503875,-0.15502166748046875,10.287811279296875,0.15502166748046875,ANSWERABLE_PREDICTED_EMPTY
0001-0006-0005,Hai đảo nằm giữa Seine trên dòng sông Paris có tên là gì?,,,False,True,1,1.0,0.484318,0.6274738311767578,9.420455932617188,-0.6274738311767578,CORRECT_NO_ANSWER
0001-0006-0006,Montparnasse nằm ở phía nào của Paris?,phía nam,,True,True,0,0.0,0.479487,0.8209762573242188,9.282369613647461,-0.8209762573242188,ANSWERABLE_PREDICTED_EMPTY
0001-0006-0007,Công trình nào nằm dưới đỉnh Montmartre?,,,False,True,1,1.0,0.465641,1.376509666442871,8.741107940673828,-1.376509666442871,CORRECT_NO_ANSWER
0001-0007-0001,Cách giới hạn nội ô Paris được thay đổi thế nào sau khỏang 150 năm tính từ ngày bức tường thành Thiers được sử dụng cho việc này?,phân định với ngọai ô bằng các đại lộ vành đai dài 35 km,,True,True,0,0.0,0.196486,14.08404016494751,-3.921687602996826,-14.08404016494751,ANSWERABLE_PREDICTED_EMPTY
0001-0007-0002,"Năm 1844, ngọai ô và nội ô Paris được sát nhập bằng gì?",,,False,True,1,1.0,0.411823,3.564323902130127,6.584399700164795,-3.564323902130127,CORRECT_NO_ANSWER
0001-0007-0003,"Ngày nay, muốn từ nội ô sang ngọai ô Paris, ta thường phải băng qua đâu?",các đại lộ vành đai,,True,True,0,0.0,0.360955,5.712206840515137,4.448834419250488,-5.712206840515137,ANSWERABLE_PREDICTED_EMPTY
0001-0007-0004,Rừng Vincennes nằm ở đâu của Paris?,Quận 12 ở phía Đông,,True,True,0,0.0,0.452151,1.9198331832885742,8.244464874267578,-1.9198331832885742,ANSWERABLE_PREDICTED_EMPTY
0001-0007-0005,"Năm 1844, ngọai ô và nội ô Paris được ngăn cách bằng gì?",bức tường thành Thiers,,True,True,0,0.0,0.445376,2.1937270164489746,7.9351277351379395,-2.1937270164489746,ANSWERABLE_PREDICTED_EMPTY
0001-0007-0006,Rừng Paris nằm ở đâu của Vincennes?,,,False,True,1,1.0,0.407424,3.746249198913574,6.416699409484863,-3.746249198913574,CORRECT_NO_ANSWER
0001-0008-0001,Bồn Paris là nơi khởi nguồn của nhiều thuyết địa chất nổi tiếng nào?,cổ sinh vật học và giải phẫu so sánh của Georges Cuvier,,True,True,0,0.0,0.513828,-0.5532703399658203,10.60592269897461,0.5532703399658203,ANSWERABLE_PREDICTED_EMPTY
0001-0008-0002,Đâu được xem là nguyên nhân khởi nguồn cho sự hình thành lưu vực sông Seine?,sự tạo thành của dãy Alps,,True,True,0,0.0,0.359353,5.781752109527588,4.387353420257568,-5.781752109527588,ANSWERABLE_PREDICTED_EMPTY
0001-0008-0003,Vì sao các cửa bồn Paris mở khóa lại?,,,False,True,1,1.0,0.370631,5.295106887817383,4.881169319152832,-5.295106887817383,CORRECT_NO_ANSWER
0001-0008-0004,Sự kiện nào đánh dấu sự hình thành của lưu vực sông Paris và sông Seine?,,,False,True,1,1.0,0.454413,1.8285436630249023,8.326078414916992,-1.8285436630249023,CORRECT_NO_ANSWER
0001-0008-0005,Bản đồ địa chất được bắt đầu vẽ ở đâu?,Bồn Paris,,True,True,0,0.0,0.42599,2.98231840133667,7.091188907623291,-2.98231840133667,ANSWERABLE_PREDICTED_EMPTY
0001-0008-0006,Bồn Paris nằm trên bồn những núi nào từ thời Paleozoic?,"khối núi Vosges, khối núi Massif central, khối núi Armorica",,True,True,0,0.0,0.327041,7.216003894805908,2.9092040061950684,-7.216003894805908,ANSWERABLE_PREDICTED_EMPTY
0001-0008-0007,Bồn Paleozoic nằm trên bồn những núi nào từ thời Paris?,,,False,True,1,1.0,0.316045,7.720057010650635,2.406554698944092,-7.720057010650635,CORRECT_NO_ANSWER
0001-0008-0008,Bản đồ Đại Tây Dương được bắt đầu vẽ ở đâu?,,,False,True,1,1.0,0.37897,4.939230442047119,5.203444957733154,-4.939230442047119,CORRECT_NO_ANSWER
