question_id,question,gold_answer,predicted_answer,has_gold_answer,predicted_no_answer,em,f1,reader_confidence,no_answer_score,best_span_score,score_margin,error_type
0001-0001-0001,Paris đạt được thành quả gì sau khỏang 4 thế kỷ tính từ ngày Cách mạng Pháp diễn ra?,"trở thành một trong những trung tâm văn hóa của thế giới, thủ đô của nghệ thuật và giải trí",,True,True,0,0.0,0.212133,13.121163368225098,-2.9493608474731445,-13.121163368225098,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0003,Kinh tế xung quanh kinh đô ánh sáng mạnh về gì?,giáo dục và nghệ thuật,,True,True,0,0.0,0.41931,3.256084442138672,6.88983154296875,-3.256084442138672,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0004,Cuộc cách mạng Pháp diễn ra ở đâu?,Paris,,True,True,0,0.0,0.339641,6.648950099945068,3.488860607147217,-6.648950099945068,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0005,Kinh đô ánh sáng nổi tiếng về lĩnh vực gì?,nghệ thuật và giải trí,,True,True,0,0.0,0.448085,2.084095001220703,8.036087989807129,-2.084095001220703,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0006,Paris là một thành phố quan trọng của nước Pháp bắt đầu từ thời gian nào?,thế kỷ 10,,True,True,0,0.0,0.392157,4.382551193237305,5.75922966003418,-4.382551193237305,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0007,Vị trí địa lý của Paris có gì đặc biệt?,nằm ở điểm gặp nhau của các hành trình thương mại đường bộ và đường sông,,True,True,0,0.0,0.249276,11.024749875068665,-0.8699408769607544,-11.024749875068665,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0001,Điều gì đã nói lên Paris là thành phố lý tưởng để khách du lịch?,Kinh đô ánh sáng,,True,True,0,0.0,0.431773,2.746216297149658,7.385440349578857,-2.746216297149658,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0002,Người ta đến với Paris vì điều gì?,"Sự nhộn nhịp, các công trình kiến trúc và không khí nghệ sĩ",,True,True,0,0.0,0.380794,4.86179256439209,5.291274070739746,-4.86179256439209,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0005,Kinh đô ánh sáng nổi tiếng như thế nào trong lĩnh vực thời trang mua sắm?,Thành phố còn được xem như kinh đô của thời trang cao cấp với nhiều khu phố xa xỉ cùng các trung tâm thương mại lớn,,True,True,0,0.0,0.368471,5.387814521789551,4.770169258117676,-5.387814521789551,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0006,Điều gì đã khiến Paris trở thành nơi trung chuyển trên tòan cầu?,"Là nơi đặt trụ sở chính của các tổ chức quốc tế như OECD, UNESCO... cộng với những họat động đa dạng về tài chính, kinh doanh, chính trị và du lịch",,True,True,0,0.0,0.455589,1.781142234802246,8.3654146194458,-1.781142234802246,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0007,"Trụ sở chính của UNESCO được đặt tại thành phố nào trong số bốn ""thành phố tòan cầu""?",Paris,,True,True,0,0.0,0.512845,-0.5139245986938477,10.560078620910645,0.5139245986938477,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0008,"Ngòai Paris, còn có thành phố nào được đánh giá là thành phố tòan cầu?","New York, Luân Đôn và Tokyo",,True,True,0,0.0,0.463113,1.4781837463378906,8.670650482177734,-1.4781837463378906,ANSWERABLE_PREDICTED_EMPTY
