question_id,question,gold_answer,predicted_answer,has_gold_answer,predicted_no_answer,em,f1,reader_confidence,no_answer_score,best_span_score,score_margin,error_type,reader_method,retrieval_hit,latency_ms
0003-0025-0008,Những khu vực nào có người dân nhập cư tập trung sinh sống đông đúc nhất của Canada?,,,False,True,1,1.0,,,,,CORRECT_NO_ANSWER,no_answer,,33144.46069999394
0005-0001-0004,Ngòai biển hở có nồng độ muối cao hơn biển thông thường thì còn có lọai biển nào khác cũng có nồng độ muối cao hơn một cách đáng kể?,biển trong các biển cô lập (biển kín),trong các biển cô lập (biển kín) như biển,True,False,0,0.9411764705882353,,0.3048719999999996,9.825013,-0.304872,SPAN_TOO_LONG,neural_span,True,24763.813300000038
0001-0005-0003,"Ngọai trừ cái tên Paname, Paris còn có tên gọi khác là gì?",Pantruche,,True,True,0,0.0,,,,,ANSWERABLE_PREDICTED_EMPTY,no_answer,True,22331.41700000124
0002-0005-0008,Tất cả những đạo luật được Nouvelle-Calédonie lên kế họach trong năm 1876-1988 đều tạo nên điều gì?,,nên bất mãn và hỗn lọan,False,False,0,0.0,,-0.8383540000000007,10.884069,0.838354,UNANSWERABLE_FALSE_POSITIVE,neural_span,,18829.03420000366
0017-0036-0008,"Để vượt qua sự thuyết phục của các đảng viên Dân chủ bảo thủ, Roosevelt đã có quyết định gì?",,,False,True,1,1.0,,,,,CORRECT_NO_ANSWER,no_answer,,20005.17150000087
0004-0036-0001,Số tiền Đức và Nhật Bản đóng góp cho Hoa Kỳ để phục vụ chiến tranh là bao nhiêu?,$16 tỷ,$16,True,False,0,0.6666666666666666,,-2.086779999999999,11.711177,2.08678,SPAN_TOO_SHORT,neural_span,True,8204.094299995631
0004-0037-0005,"Tòa báo CNN đã phát hành tờ ""CHIẾN TRANH VÙNG VỊNH"" vào thời gian nào?",,đặc biệt ngày 28 tháng 1 năm,False,False,0,0.0,,-1.0100809999999996,11.104803,1.010081,UNANSWERABLE_FALSE_POSITIVE,neural_span,,7545.22839999845
0012-0002-0006,Danh hiệu Mahatma Gandhi lần đầu tiên được dùng bởi ai?,Rabindranath Tagore,được,True,False,0,0.0,,1.7627730000000001,7.511199,-1.762773,WRONG_SPAN,neural_span,True,9250.733000000764
0012-0014-0008,Cuộc phát động có tổ chức đầu tiên của Gandhi xảy ra khi nào?,khi ông bị cảnh sát bắt giam với lý do gây bạo động và được yêu cầu rời địa phương này,vào năm,True,False,0,0.0,,-2.1744570000000003,11.658319,2.174458,WRONG_SPAN,neural_span,True,8064.574000003631
0004-0030-0007,Vì sao Mỹ chỉ nhận sát thương không đáng kể từ tên lửa Scud?,,,False,True,1,1.0,,,,,CORRECT_NO_ANSWER,no_answer,,8686.287600001378
