question_id,question,gold_answer,predicted_answer,has_gold_answer,predicted_no_answer,em,f1,reader_confidence,no_answer_score,best_span_score,score_margin,error_type
0001-0001-0001,Paris đạt được thành quả gì sau khỏang 4 thế kỷ tính từ ngày Cách mạng Pháp diễn ra?,"trở thành một trong những trung tâm văn hóa của thế giới, thủ đô của nghệ thuật và giải trí",,True,True,0,0.0,1.0,4.980307102203369,3.7822365760803223,-4.980307102203369,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0002,Vị trí địa lý của Pháp có gì đặc biệt?,,,False,True,1,1.0,1.0,5.631185054779053,3.0139718055725098,-5.631185054779053,CORRECT_NO_ANSWER
0001-0001-0003,Kinh tế xung quanh kinh đô ánh sáng mạnh về gì?,giáo dục và nghệ thuật,,True,True,0,0.0,1.0,6.894315719604492,1.910177230834961,-6.894315719604492,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0004,Cuộc cách mạng Pháp diễn ra ở đâu?,Paris,,True,True,0,0.0,1.0,3.6348185539245605,5.029312610626221,-3.6348185539245605,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0005,Kinh đô ánh sáng nổi tiếng về lĩnh vực gì?,nghệ thuật và giải trí,,True,True,0,0.0,1.0,7.2558406591415405,1.5670086145401,-7.2558406591415405,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0006,Paris là một thành phố quan trọng của nước Pháp bắt đầu từ thời gian nào?,thế kỷ 10,,True,True,0,0.0,1.0,6.6924214363098145,2.1212592124938965,-6.6924214363098145,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0007,Vị trí địa lý của Paris có gì đặc biệt?,nằm ở điểm gặp nhau của các hành trình thương mại đường bộ và đường sông,,True,True,0,0.0,1.0,5.929280757904053,2.7496533393859863,-5.929280757904053,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0001,Điều gì đã nói lên Paris là thành phố lý tưởng để khách du lịch?,Kinh đô ánh sáng,,True,True,0,0.0,1.0,5.342870712280273,3.556629180908203,-5.342870712280273,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0002,Người ta đến với Paris vì điều gì?,"Sự nhộn nhịp, các công trình kiến trúc và không khí nghệ sĩ",,True,True,0,0.0,1.0,5.92202091217041,3.0426406860351562,-5.92202091217041,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0003,Điều gì đã nói lên New York là thành phố lý tưởng để khách du lịch?,,,False,True,1,1.0,1.0,5.161084413528442,3.7731597423553467,-5.161084413528442,CORRECT_NO_ANSWER
0001-0002-0004,Điều gì đã khiến tòan cầu trở thành nơi trung chuyển trên Paris?,,"Paris trở thành một trong những trung tâm trung chuyển lớn nhất trên thế giới và được coi như một trong bốn ""thành phố tòan cầu"" cùng với New York, Luân Đôn và Tokyo",False,False,0,0.0,1.0,-0.5604867935180664,8.584643363952637,0.5604867935180664,UNANSWERABLE_FALSE_POSITIVE
0001-0002-0005,Kinh đô ánh sáng nổi tiếng như thế nào trong lĩnh vực thời trang mua sắm?,Thành phố còn được xem như kinh đô của thời trang cao cấp với nhiều khu phố xa xỉ cùng các trung tâm thương mại lớn,Paris,True,False,0,0.0,1.0,1.289719581604004,7.276172637939453,-1.289719581604004,WRONG_SPAN
0001-0002-0006,Điều gì đã khiến Paris trở thành nơi trung chuyển trên tòan cầu?,"Là nơi đặt trụ sở chính của các tổ chức quốc tế như OECD, UNESCO... cộng với những họat động đa dạng về tài chính, kinh doanh, chính trị và du lịch","những họat động đa dạng về tài chính, kinh doanh, chính trị và du lịch",True,False,0,0.6382978723404256,1.0,-0.8505387306213379,8.821501731872559,0.8505387306213379,SPAN_TOO_SHORT
0001-0002-0007,"Trụ sở chính của UNESCO được đặt tại thành phố nào trong số bốn ""thành phố tòan cầu""?",Paris,"New York, Luân Đôn và Tokyo",True,False,0,0.0,1.0,-0.5095100402832031,8.599172592163086,0.5095100402832031,WRONG_SPAN
0001-0002-0008,"Ngòai Paris, còn có thành phố nào được đánh giá là thành phố tòan cầu?","New York, Luân Đôn và Tokyo","Paris trở thành một trong những trung tâm trung chuyển lớn nhất trên thế giới và được coi như một trong bốn ""thành phố tòan cầu"" cùng với New York, Luân Đôn và Tokyo",True,False,0,0.3,1.0,-0.3054971694946289,8.468650817871094,0.3054971694946289,SPAN_TOO_LONG
0001-0003-0001,"Trước thế kỷ 17, tại Paris các nơi công cộng thiếu ánh đèn buổi tuối thường có hiện tượng gì?",nhiều tệ nạn,,True,True,0,0.0,1.0,3.993903160095215,4.686053276062012,-3.993903160095215,ANSWERABLE_PREDICTED_EMPTY
0001-0003-0002,Kinh đô ánh sáng dịch từ tiếng Pháp sang tiếng Anh chính xác là gì?,The City of Lights,Thành phố ánh sáng,True,False,0,0.0,1.0,1.4829802513122559,6.7884907722473145,-1.4829802513122559,WRONG_SPAN
