split,id,reason,question,answer_text,answer_start
train,0001-0007-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Điều gì có thể đẩy Đảng vào trong tình thế nguy kịch?,nhân dân ta ngày càng giảm lòng tin vào Đảng,278
train,0002-0017-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Sss?,"ạo ra một phần lá mầm đơn độc của thân phôi, phần trục và rễ của",702
train,0002-0017-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Dd?,ố thự,944
train,0003-0004-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,The schoolzone.co.uk Guide to Digital Resources là gì?,"là một tài liệu hướng dẫn đầy đủ về 500 sản phẩm được lựa chọn và giới thiệu, được phân lọai theo môn học của hệ thống các trường UK",590
train,0005-0026-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Trên danh nghĩa, Edward đóng vai trò như thế nào đối với vua Pháp?",là chư hầu của vua Pháp,526
train,0005-0036-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Mục đích thứ hai của các cuộc điều tra là gì?,là để thiết lập lại những vùng đất và quyền lực của ngôi vua đã mất dươi thời Henry III,39
train,0005-0052-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Vào thế kỷ XVII, luật sư Edward Coke đã gọi Edward là gì?","là the ""Justinian của Anh"", theo tên của nhà làm luật Đông La Mã nổi tiếng, Justinian I",397
train,0006-0016-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Nguyên nhân của việc Nhật Bản thường xuyên xảy ra thiên tai là gì?,"Vị trí nằm trên vành đai núi lửa Thái Bình Dương, nằm ở điểm nối của ba vùng kiến tạo địa chấ",0
train,0006-0022-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Những chính sách cải cách vấn đề gì đang được đốc thúc ở Nhật Bản?,"cơ cấu kinh tế, giảm thâm hụt ngân sách, cải cách khu vực tài chính và sắp xếp lại cơ cấu chính phủ,..",72
train,0006-0044-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Các tác phẩm văn học sớm nhất của Nhật Bản được sáng tác bằng lọai chữ nào?,Hán,168
train,0006-0048-0002,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Từ năm 2000 thì số ngày nghỉ lể của Nhật Bản đã có sự thay đổi gì?,"ừ những năm 2000 Nhật Bãn đã thực hiện Happy Monday System, đưa một số ngày lễ rơi vào cuối tuần lên thứ hai để có một ngày nghỉ dài",220
train,0006-0049-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Tháng nào trong năm có nhiều ngày lễ nhất ở Nhật Bản?,5,241
train,0006-0050-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Có bao nhiêu quốc gia được xem là chủ nhà của World Cup 2002?,2,231
train,0007-0006-0001,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,Hành trình của Ferdinand Magellan vòng quanh thế giới đã được ủy quyền bởi ai?,hòang đế Charles V,143
train,0007-0007-0003,TOKENIZER_BOUNDARY: no overflow feature decoded exactly to the annotated answer,"Từ phim truyền hình Đường hầm thời gian và Challengers of the Unknown, hành viên của Dự án Tic Toc sử dụng biểu tượng đồng hồ cát đề làm gì?",iễn tả dịch chuyển thời gian hoặc thời gian trôi qua,958
