question_id,is_answerable,gold_answer,predicted_span,null_score,best_span_score,score_margin,reader_confidence_display
0001-0001-0001,True,"trở thành một trong những trung tâm văn hóa của thế giới, thủ đô của nghệ thuật và giải trí",Paris,8.762543678283691,3.7822365760803223,-4.980307102203369,0.29841037552545147
0001-0001-0002,False,,Paris,8.645156860351562,3.0139718055725098,-5.631185054779053,0.2631155979364507
0001-0001-0003,True,giáo dục và nghệ thuật,Paris,8.804492950439453,1.910177230834961,-6.894315719604492,0.20272132295032536
0001-0001-0004,True,Paris,Paris,8.664131164550781,5.029312610626221,-3.6348185539245605,0.3791385087367067
0001-0001-0005,True,nghệ thuật và giải trí,Paris,8.82284927368164,1.5670086145401,-7.2558406591415405,0.1874673572653601
0001-0001-0006,True,thế kỷ 10,"Vào thế kỷ 10, Paris đã là một trong những thành phố chính của Pháp cùng các cung điện hòang gia, các tu viện và nhà thờ. Từ thế kỷ 12, Paris",8.813680648803711,2.1212592124938965,-6.6924214363098145,0.21163433760275643
0001-0001-0007,True,nằm ở điểm gặp nhau của các hành trình thương mại đường bộ và đường sông,Paris,8.678934097290039,2.7496533393859863,-5.929280757904053,0.24787706833387832
0001-0002-0001,True,Kinh đô ánh sáng,Paris,8.899499893188477,3.556629180908203,-5.342870712280273,0.27841496811603106
0001-0002-0002,True,"Sự nhộn nhịp, các công trình kiến trúc và không khí nghệ sĩ",Paris,8.964661598205566,3.0426406860351562,-5.92202091217041,0.24824106865202647
0001-0002-0003,False,,Paris,8.934244155883789,3.7731597423553467,-5.161084413528442,0.2883373869330707
0001-0002-0004,False,,"Paris trở thành một trong những trung tâm trung chuyển lớn nhất trên thế giới và được coi như một trong bốn ""thành phố tòan cầu"" cùng với New York, Luân Đôn và Tokyo",8.02415657043457,8.584643363952637,0.5604867935180664,0.6535109567014173
0001-0002-0005,True,Thành phố còn được xem như kinh đô của thời trang cao cấp với nhiều khu phố xa xỉ cùng các trung tâm thương mại lớn,Paris,8.565892219543457,7.276172637939453,-1.289719581604004,0.5342376810044877
0001-0002-0006,True,"Là nơi đặt trụ sở chính của các tổ chức quốc tế như OECD, UNESCO... cộng với những họat động đa dạng về tài chính, kinh doanh, chính trị và du lịch","những họat động đa dạng về tài chính, kinh doanh, chính trị và du lịch",7.970963001251221,8.821501731872559,0.8505387306213379,0.6709478575763581
0001-0002-0007,True,Paris,"New York, Luân Đôn và Tokyo",8.089662551879883,8.599172592163086,0.5095100402832031,0.650401690913801
0001-0002-0008,True,"New York, Luân Đôn và Tokyo","Paris trở thành một trong những trung tâm trung chuyển lớn nhất trên thế giới và được coi như một trong bốn ""thành phố tòan cầu"" cùng với New York, Luân Đôn và Tokyo",8.163153648376465,8.468650817871094,0.3054971694946289,0.6378318056024018
0001-0003-0001,True,nhiều tệ nạn,tệ nạn,8.679956436157227,4.686053276062012,-3.993903160095215,0.35669686037102144
0001-0003-0002,True,The City of Lights,Thành phố ánh sáng,8.27147102355957,6.7884907722473145,-1.4829802513122559,0.5212911549825356
0001-0003-0003,True,"cuối thế kỷ 17, trung tướng cảnh sát đầu tiên của Paris Gabriel Nicolas de La Reynie ra lệnh thắp sáng những khu vực công cộng nhiều tệ nạn của thành phố","nghĩa đen của nó: cuối thế kỷ 17, trung tướng cảnh sát đầu tiên của Paris Gabriel Nicolas de La Reynie ra lệnh thắp sáng những khu vực công cộng nhiều tệ nạn của thành phố",8.02975845336914,6.589852333068848,-1.439906120300293,0.5241797857332156
0001-0003-0004,False,,Paris,8.387811660766602,3.900714874267578,-4.487096786499023,0.3268862357665311
0001-0003-0005,True,Kinh đô ánh sáng,Paris,8.682137489318848,3.7828545570373535,-4.899282932281494,0.30299011748905785
0001-0004-0001,True,thêm hai chữ a và d,"Từ ""parisien"" trong tiếng Pháp là tính từ của Paris",8.642250061035156,8.896220207214355,0.2539701461791992,0.6346262001931327
0001-0004-0002,True,"Venezia, Paris","Venezia, Paris",8.796692848205566,4.273318290710449,-4.523374557495117,0.3247442068414675
0001-0004-0003,False,,Paris,8.701265335083008,6.097904682159424,-2.603360652923584,0.4462221991941162
0001-0005-0001,True,những chiếc mũ panama,Paris và một trong các ngọai ô là Pantin,8.670799255371094,4.555332183837891,-4.115467071533203,0.34923430036637776
0001-0005-0002,False,,Paris,8.709190368652344,3.9552392959594727,-4.753951072692871,0.3113032284832964
0001-0005-0003,True,Pantruche,"Paris là ""Paname"" từ đầu thế kỷ 20 khi những chiếc mũ panama",8.576793670654297,6.685202121734619,-1.8915915489196777,0.4938452690531536
0001-0006-0001,False,,đồi Montmartre,8.736379623413086,4.738130569458008,-3.998249053955078,0.35642884671486064
0001-0006-0002,True,nhà thờ Saint-Pierre,đồi Montmartre,8.67718505859375,7.325767517089844,-1.3514175415039062,0.5301087086112328
0001-0006-0003,True,Île de la Cité ở phía tây và Île Saint-Louis ở phía đông,đồi Montmartre,8.714755058288574,5.02690315246582,-3.687851905822754,0.37578868211702415
0001-0006-0004,True,Seine,đồi Montmartre,8.728723526000977,4.826379776000977,-3.90234375,0.3623640267954883
0001-0006-0005,False,,Île de la Cité ở phía tây và Île Saint-Louis ở phía đông,8.522993087768555,8.332256317138672,-0.1907367706298828,0.6064886882938902
0001-0006-0006,True,phía nam,Montparnasse cao 66 m; Butte aux Cailles 63 m; đồi Sainte-Geneviève 61 m,8.28946590423584,8.788677215576172,0.49921131134033203,0.6497719661180407
0001-0006-0007,False,,đồi Montmartre,8.675792694091797,7.1768903732299805,-1.4989023208618164,0.5202230207467634
0001-0007-0001,True,phân định với ngọai ô bằng các đại lộ vành đai dài 35 km,nội ô Paris,8.611991882324219,8.318130493164062,-0.29386138916015625,0.5998537960132845
0001-0007-0002,False,,các đại lộ vành đai dài 35 km,7.76005744934082,8.951324462890625,1.1912670135498047,0.6908432018355908
0001-0007-0003,True,các đại lộ vành đai,Paris,8.770203590393066,6.933852195739746,-1.8363513946533203,0.497557170096175
0001-0007-0004,True,Quận 12 ở phía Đông,rừng Vincennes rộng 995 hecta thuộc Quận 12 ở phía Đông,8.440169334411621,7.936699867248535,-0.5034694671630859,0.5862568149566879
0001-0007-0005,True,bức tường thành Thiers,bức tường thành Thiers,7.649658679962158,10.322905540466309,2.6732468605041504,0.7689561255916734
0001-0007-0006,False,,rừng Vincennes,8.56472110748291,7.3208465576171875,-1.2438745498657227,0.5373027344246216
0001-0008-0001,True,cổ sinh vật học và giải phẫu so sánh của Georges Cuvier,cổ sinh vật học và giải phẫu so sánh,8.74024772644043,4.855867385864258,-3.884380340576172,0.36348045328923656
