question_id,question,gold_answer,predicted_answer,has_gold_answer,predicted_no_answer,em,f1,reader_confidence,no_answer_score,best_span_score,score_margin,error_type
0001-0001-0001,Paris đạt được thành quả gì sau khỏang 4 thế kỷ tính từ ngày Cách mạng Pháp diễn ra?,"trở thành một trong những trung tâm văn hóa của thế giới, thủ đô của nghệ thuật và giải trí",,True,True,0,0.0,0.378004,4.980307102203369,3.7822365760803223,-4.980307102203369,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0003,Kinh tế xung quanh kinh đô ánh sáng mạnh về gì?,giáo dục và nghệ thuật,,True,True,0,0.0,0.33416,6.894315719604492,1.910177230834961,-6.894315719604492,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0004,Cuộc cách mạng Pháp diễn ra ở đâu?,Paris,,True,True,0,0.0,0.410117,3.6348185539245605,5.029312610626221,-3.6348185539245605,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0005,Kinh đô ánh sáng nổi tiếng về lĩnh vực gì?,nghệ thuật và giải trí,,True,True,0,0.0,0.326165,7.2558406591415405,1.5670086145401,-7.2558406591415405,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0006,Paris là một thành phố quan trọng của nước Pháp bắt đầu từ thời gian nào?,thế kỷ 10,,True,True,0,0.0,0.338667,6.6924214363098145,2.1212592124938965,-6.6924214363098145,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0007,Vị trí địa lý của Paris có gì đặc biệt?,nằm ở điểm gặp nhau của các hành trình thương mại đường bộ và đường sông,,True,True,0,0.0,0.355963,5.929280757904053,2.7496533393859863,-5.929280757904053,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0001,Điều gì đã nói lên Paris là thành phố lý tưởng để khách du lịch?,Kinh đô ánh sáng,,True,True,0,0.0,0.369518,5.342870712280273,3.556629180908203,-5.342870712280273,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0002,Người ta đến với Paris vì điều gì?,"Sự nhộn nhịp, các công trình kiến trúc và không khí nghệ sĩ",,True,True,0,0.0,0.35613,5.92202091217041,3.0426406860351562,-5.92202091217041,ANSWERABLE_PREDICTED_EMPTY
0001-0003-0001,"Trước thế kỷ 17, tại Paris các nơi công cộng thiếu ánh đèn buổi tuối thường có hiện tượng gì?",nhiều tệ nạn,,True,True,0,0.0,0.401459,3.993903160095215,4.686053276062012,-3.993903160095215,ANSWERABLE_PREDICTED_EMPTY
0001-0003-0005,Người dân trên thế giới thường gọi Paris với tên khác là gì?,Kinh đô ánh sáng,,True,True,0,0.0,0.37991,4.899282932281494,3.7828545570373535,-4.899282932281494,ANSWERABLE_PREDICTED_EMPTY
0001-0004-0002,Hai thành phố nào được gọi là thành phố của tình yêu?,"Venezia, Paris",,True,True,0,0.0,0.388805,4.523374557495117,4.273318290710449,-4.523374557495117,ANSWERABLE_PREDICTED_EMPTY
0001-0005-0001,Nguồn gốc tên gọi Paname bắt nguồn từ đâu?,những chiếc mũ panama,,True,True,0,0.0,0.398541,4.115467071533203,4.555332183837891,-4.115467071533203,ANSWERABLE_PREDICTED_EMPTY
0001-0005-0003,"Ngọai trừ cái tên Paname, Paris còn có tên gọi khác là gì?",Pantruche,,True,True,0,0.0,0.452851,1.8915915489196777,6.685202121734619,-1.8915915489196777,ANSWERABLE_PREDICTED_EMPTY
0001-0006-0003,Hai nằm giữa Paris trên dòng sông Sen có tên là gì?,Île de la Cité ở phía tây và Île Saint-Louis ở phía đông,,True,True,0,0.0,0.408835,3.687851905822754,5.02690315246582,-3.687851905822754,ANSWERABLE_PREDICTED_EMPTY
0001-0006-0004,Con sông nào nằm trong lòng Paris?,Seine,,True,True,0,0.0,0.403661,3.90234375,4.826379776000977,-3.90234375,ANSWERABLE_PREDICTED_EMPTY
0001-0007-0003,"Ngày nay, muốn từ nội ô sang ngọai ô Paris, ta thường phải băng qua đâu?",các đại lộ vành đai,,True,True,0,0.0,0.45422,1.8363513946533203,6.933852195739746,-1.8363513946533203,ANSWERABLE_PREDICTED_EMPTY
0001-0008-0001,Bồn Paris là nơi khởi nguồn của nhiều thuyết địa chất nổi tiếng nào?,cổ sinh vật học và giải phẫu so sánh của Georges Cuvier,,True,True,0,0.0,0.404093,3.884380340576172,4.855867385864258,-3.884380340576172,ANSWERABLE_PREDICTED_EMPTY
0001-0008-0006,Bồn Paris nằm trên bồn những núi nào từ thời Paleozoic?,"khối núi Vosges, khối núi Massif central, khối núi Armorica",,True,True,0,0.0,0.422498,3.1252779960632324,5.443877696990967,-3.1252779960632324,ANSWERABLE_PREDICTED_EMPTY
0001-0008-0010,Vì sao các cửa bồn Paris bị khóa lại?,báo trước cho sự hình thành lưu vực sông Loire và sông Seine,,True,True,0,0.0,0.405745,3.8158559799194336,4.945069313049316,-3.8158559799194336,ANSWERABLE_PREDICTED_EMPTY
0001-0009-0001,"Ở Paris, CaSO4.2H2O được khai thác nhiều ở đâu?",Montmartre và Bagneux,,True,True,0,0.0,0.399689,4.067602634429932,4.773261547088623,-4.067602634429932,ANSWERABLE_PREDICTED_EMPTY
0001-0009-0003,Việc khai thác CaCO3 đã từ lâu được di dời từ sông Sen đến đâu?,Oise,,True,True,0,0.0,0.384976,4.684786319732666,4.227843761444092,-4.684786319732666,ANSWERABLE_PREDICTED_EMPTY
0001-0009-0006,Việc khai thác đá vôi bên sông Sen đã dừng từ lúc nào?,thế kỷ 14,,True,True,0,0.0,0.383059,4.765830993652344,4.101130485534668,-4.765830993652344,ANSWERABLE_PREDICTED_EMPTY
0001-0010-0006,"Dựa theo bản đồ Paris, sông Sen có hình dạng gì?",cánh cung,,True,True,0,0.0,0.417933,3.3126511573791504,5.488118648529053,-3.3126511573791504,ANSWERABLE_PREDICTED_EMPTY
0001-0011-0002,Thời điểm nào nhiệt độ Paris đạt mức cao nhất?,ngày 28 tháng 6 năm 1948,,True,True,0,0.0,0.422304,3.1332130432128906,5.488173484802246,-3.1332130432128906,ANSWERABLE_PREDICTED_EMPTY
0001-0011-0004,Khí hậu Paris có đặc điểm gì?,"mùa hè mát, trung bình 18°C; mùa đông không quá lạnh, trung bình 6 °C; các mùa đều mưa nhiều và thời tiết thất thường",,True,True,0,0.0,0.442218,2.3216538429260254,6.1959357261657715,-2.3216538429260254,ANSWERABLE_PREDICTED_EMPTY
0001-0012-0001,Ai là người đã chọn Paris làm thủ đô cho nước Pháp?,Clovis I,,True,True,0,0.0,0.37324,5.183406114578247,3.5260121822357178,-5.183406114578247,ANSWERABLE_PREDICTED_EMPTY
0001-0012-0002,Paris trở thành nơi thịnh vượng nhất châu Âu vào thời kì nào?,thế kỷ 17,,True,True,0,0.0,0.37927,4.9264984130859375,3.719625473022461,-4.9264984130859375,ANSWERABLE_PREDICTED_EMPTY
0001-0012-0004,Paris bị Đế quốc Roma chiếm đóng vào thời điểm nào?,thế kỷ 1,,True,True,0,0.0,0.370332,5.307924032211304,3.3986895084381104,-5.307924032211304,ANSWERABLE_PREDICTED_EMPTY
0001-0012-0005,Cuộc cách mạng Pháp lần đầu tiên diễn ra ở đâu?,Paris,,True,True,0,0.0,0.429393,2.843292236328125,5.769990921020508,-2.843292236328125,ANSWERABLE_PREDICTED_EMPTY
0001-0012-0006,Ai là những người dân đầu tiên sống ở Paris?,người Parisii,,True,True,0,0.0,0.350522,6.167433738708496,2.5599584579467773,-6.167433738708496,ANSWERABLE_PREDICTED_EMPTY
0001-0013-0001,Con người lần đầu xuất hiện ở Paris vào lúc nào?,40.000 năm,,True,True,0,0.0,0.361931,5.669942378997803,3.073366641998291,-5.669942378997803,ANSWERABLE_PREDICTED_EMPTY
0001-0013-0003,Con người bắt đầu tập trung cư trú nhiều bên Sen vào lúc nào?,khỏang năm 4.000 đến 3.800 trước Công Nguyên,,True,True,0,0.0,0.354746,5.982431888580322,2.779902935028076,-5.982431888580322,ANSWERABLE_PREDICTED_EMPTY
0001-0013-0005,Dựa vào đâu cho thấy con người đã sống ở Sông Sen 40000 năm trước?,những công cụ đá được tìm thấy ở bờ sông Seine,,True,True,0,0.0,0.367959,5.40984582901001,3.2846951484680176,-5.40984582901001,ANSWERABLE_PREDICTED_EMPTY
0001-0015-0001,Cuộc chiến tranh Paris và người Viking đã chấm dứt như thế nào?,hòa ước Saint-Clair-sur-Epte năm 911,,True,True,0,0.0,0.432388,2.721134662628174,5.967648983001709,-2.721134662628174,ANSWERABLE_PREDICTED_EMPTY
0001-0015-0007,Ai đã cai trị Paris sau khi giải phóng khỏi Attila?,Childéric I,,True,True,0,0.0,0.453382,1.8701395988464355,6.71525239944458,-1.8701395988464355,ANSWERABLE_PREDICTED_EMPTY
0001-0016-0002,Paris đã phát triển lớn mạnh hơn Orléans vào lúc nào?,thế kỷ 11,,True,True,0,0.0,0.381766,4.8206000328063965,4.042938709259033,-4.8206000328063965,ANSWERABLE_PREDICTED_EMPTY
0001-0016-0004,Capet đã chọn nơi nào để đóng đô?,Orléans,,True,True,0,0.0,0.382673,4.782188892364502,4.107369899749756,-4.782188892364502,ANSWERABLE_PREDICTED_EMPTY
0001-0017-0001,Thành phố nào tập trung đông người nhất lục địa già vào thế kỷ XIV?,Paris,,True,True,0,0.0,0.407678,3.735727310180664,5.0296478271484375,-3.735727310180664,ANSWERABLE_PREDICTED_EMPTY
0001-0017-0002,Bên bờ phải sông Sen đã phát triển mạnh về họat động gì vào thế kỉ XII?,thương mại và tài chính,,True,True,0,0.0,0.382316,4.797295093536377,4.116052150726318,-4.797295093536377,ANSWERABLE_PREDICTED_EMPTY
0001-0017-0006,Bên bờ trái sông Sen đã phát triển mạnh về họat động gì vào thế kỉ XII?,giáo dục,,True,True,0,0.0,0.385148,4.677531719207764,4.235846996307373,-4.677531719207764,ANSWERABLE_PREDICTED_EMPTY
0001-0018-0002,Ai đã nắm giữ Paris trong chiến tranh Pháp-Anh thế kỷ XIV?,người Anh,,True,True,0,0.0,0.39977,4.064244270324707,4.614398956298828,-4.064244270324707,ANSWERABLE_PREDICTED_EMPTY
0001-0018-0003,Trong chiến tranh trăm năm ai đã nổi dậy gây nên biến động lịch sử?,quan thái thú Étienne Marcel,,True,True,0,0.0,0.370433,5.303582191467285,3.3992719650268555,-5.303582191467285,ANSWERABLE_PREDICTED_EMPTY
0001-0019-0002,Thế lực nào đã xung đột với vua Henry III?,Giáo hội Pháp,,True,True,0,0.0,0.382248,4.800166130065918,4.065176963806152,-4.800166130065918,ANSWERABLE_PREDICTED_EMPTY
0001-0019-0003,Henry IV đã không thể quay lại Paris cho đến năm nào?,1594,,True,True,0,0.0,0.376215,5.05643892288208,3.689025402069092,-5.05643892288208,ANSWERABLE_PREDICTED_EMPTY
0001-0019-0004,"Trong ngày lễ Thánh Barthelemy, có bao nhiêu tín đồ Tin Lành bị Kito giáo giết?",2 ngàn tới 10 ngàn,,True,True,0,0.0,0.363971,5.581709384918213,3.332174777984619,-5.581709384918213,ANSWERABLE_PREDICTED_EMPTY
0001-0020-0002,Ai đã thay Louis XIV điều hành Paris?,Jean-Baptiste,,True,True,0,0.0,0.364774,5.547049522399902,2.948563575744629,-5.547049522399902,ANSWERABLE_PREDICTED_EMPTY
0001-0020-0003,Vị vua đầu tiên nào đã chuyển từ cung điện ở Paris sang ở Versailles?,Louis XIII,,True,True,0,0.0,0.43074,2.7883338928222656,5.637105941772461,-2.7883338928222656,ANSWERABLE_PREDICTED_EMPTY
0001-0021-0002,Cực Tây của Paris lúc thế kỷ XVIII là gì?,vườn Luxembourg,,True,True,0,0.0,0.340086,6.629098892211914,2.202777862548828,-6.629098892211914,ANSWERABLE_PREDICTED_EMPTY
0001-0022-0001,Vì sao nhà vua phải bỏ cung điện owrVersailles để về Paris?,những người nổi dậy tới Versailles,,True,True,0,0.0,0.437365,2.518616199493408,6.08854341506958,-2.518616199493408,ANSWERABLE_PREDICTED_EMPTY
0001-0022-0003,Versailles dùng để làm gì sau khi nhà vua bị đuổi khỏi đó?,Quốc hội lập hiến,,True,True,0,0.0,0.425779,2.9909515380859375,5.608562469482422,-2.9909515380859375,ANSWERABLE_PREDICTED_EMPTY
0001-0022-0004,Ai là người có quyền lực cao nhất Paris thời gian sau khi bỏ chế độ phong kiến?,Quốc hội,,True,True,0,0.0,0.351035,6.1449456214904785,2.571998119354248,-6.1449456214904785,ANSWERABLE_PREDICTED_EMPTY
0001-0023-0001,Vì sao Louis trở thành vị vua không ngai?,Đa số vẫn ủng hộ chế độ quân chủ,,True,True,0,0.0,0.403384,3.913830280303955,4.942201137542725,-3.913830280303955,ANSWERABLE_PREDICTED_EMPTY
0001-0023-0002,Pháp chính thức không theo chế độ quân chủ vào lúc nào?,Ngày 21 tháng 9 năm 1792,,True,True,0,0.0,0.428212,2.8915023803710938,5.937334060668945,-2.8915023803710938,ANSWERABLE_PREDICTED_EMPTY
0001-0023-0003,Sự kiện nào đánh dấu mốc chấm dứt cho chế độ quân chủ lập hiến ở Pháp?,Louis XVI bị hành quyết,,True,True,0,0.0,0.429496,2.839087963104248,5.68627405166626,-2.839087963104248,ANSWERABLE_PREDICTED_EMPTY
0001-0023-0004,Mục đích của ngày lễ Fédération là gì?,mừng một năm ngày phá ngục Bastille,,True,True,0,0.0,0.392587,4.364502906799316,4.574589729309082,-4.364502906799316,ANSWERABLE_PREDICTED_EMPTY
0001-0023-0005,Vì sao Pháp xảy ra chiến tranh với Áo vào thập niên cuối thế kỷ XVIII?,Tình hình chính trị rối lọan,,True,True,0,0.0,0.418714,3.2805614471435547,5.586786270141602,-3.2805614471435547,ANSWERABLE_PREDICTED_EMPTY
0001-0024-0002,Những nhà văn nào đã phản ánh lên tình hình xã hội Pháp thời đó?,"Balzac, Victor Hugo hay Eugène Sue",,True,True,0,0.0,0.390036,4.471590042114258,4.3160400390625,-4.471590042114258,ANSWERABLE_PREDICTED_EMPTY
0001-0024-0003,Cái gì là bước đệm mở ra thời đường sắt ở Pháp?,"Các nhà ga Saint-Lazare, Gare du Nord, các tuyến đường sắt Paris-Orléans, Paris-Rouen được xây dựng",,True,True,0,0.0,0.449391,2.0313034057617188,6.600643157958984,-2.0313034057617188,ANSWERABLE_PREDICTED_EMPTY
0001-0025-0003,Ai là người đã lên kế họach tái kiến thiết Paris?,Napoléon III cùng Nam tước Haussmann,,True,True,0,0.0,0.41949,3.248689651489258,5.371562957763672,-3.248689651489258,ANSWERABLE_PREDICTED_EMPTY
0001-0025-0004,Paris có sự lột xác mạnh mẽ từ phong cách cổ xưa sang diện mạo mới vào lúc nào?,thời Napoléon III,,True,True,0,0.0,0.402504,3.950418472290039,4.6820878982543945,-3.950418472290039,ANSWERABLE_PREDICTED_EMPTY
