question_id,question,gold_answer,predicted_answer,has_gold_answer,predicted_no_answer,em,f1,reader_confidence,no_answer_score,best_span_score,score_margin,error_type
0001-0001-0001,Paris đạt được thành quả gì sau khỏang 4 thế kỷ tính từ ngày Cách mạng Pháp diễn ra?,"trở thành một trong những trung tâm văn hóa của thế giới, thủ đô của nghệ thuật và giải trí",,True,True,0,0.0,1.0,13.121163368225098,-2.9493608474731445,-13.121163368225098,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0002,Vị trí địa lý của Pháp có gì đặc biệt?,,,False,True,1,1.0,1.0,11.713478446006775,-1.5605090856552124,-11.713478446006775,CORRECT_NO_ANSWER
0001-0001-0003,Kinh tế xung quanh kinh đô ánh sáng mạnh về gì?,giáo dục và nghệ thuật,vùng nông nghiệp,True,False,0,0.0,1.0,3.256084442138672,6.88983154296875,-3.256084442138672,WRONG_SPAN
0001-0001-0004,Cuộc cách mạng Pháp diễn ra ở đâu?,Paris,,True,True,0,0.0,1.0,6.648950099945068,3.488860607147217,-6.648950099945068,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0005,Kinh đô ánh sáng nổi tiếng về lĩnh vực gì?,nghệ thuật và giải trí,của nghệ thuật và,True,False,0,0.6666666666666665,1.0,2.084095001220703,8.036087989807129,-2.084095001220703,SPAN_TOO_SHORT
0001-0001-0006,Paris là một thành phố quan trọng của nước Pháp bắt đầu từ thời gian nào?,thế kỷ 10,,True,True,0,0.0,1.0,4.382551193237305,5.75922966003418,-4.382551193237305,ANSWERABLE_PREDICTED_EMPTY
0001-0001-0007,Vị trí địa lý của Paris có gì đặc biệt?,nằm ở điểm gặp nhau của các hành trình thương mại đường bộ và đường sông,,True,True,0,0.0,1.0,11.024749875068665,-0.8699408769607544,-11.024749875068665,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0001,Điều gì đã nói lên Paris là thành phố lý tưởng để khách du lịch?,Kinh đô ánh sáng,". Sự nhộn nhịp, các công trình kiến trúc và không khí",True,False,0,0.0,1.0,2.746216297149658,7.385440349578857,-2.746216297149658,WRONG_SPAN
0001-0002-0002,Người ta đến với Paris vì điều gì?,"Sự nhộn nhịp, các công trình kiến trúc và không khí nghệ sĩ",,True,True,0,0.0,1.0,4.86179256439209,5.291274070739746,-4.86179256439209,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0003,Điều gì đã nói lên New York là thành phố lý tưởng để khách du lịch?,,,False,True,1,1.0,1.0,6.225881099700928,3.932772159576416,-6.225881099700928,CORRECT_NO_ANSWER
0001-0002-0004,Điều gì đã khiến tòan cầu trở thành nơi trung chuyển trên Paris?,,"với những họat động đa dạng về tài chính, kinh doanh, chính trị và",False,False,0,0.0,1.0,1.634744644165039,8.512962341308594,-1.634744644165039,UNANSWERABLE_FALSE_POSITIVE
0001-0002-0005,Kinh đô ánh sáng nổi tiếng như thế nào trong lĩnh vực thời trang mua sắm?,Thành phố còn được xem như kinh đô của thời trang cao cấp với nhiều khu phố xa xỉ cùng các trung tâm thương mại lớn,,True,True,0,0.0,1.0,5.387814521789551,4.770169258117676,-5.387814521789551,ANSWERABLE_PREDICTED_EMPTY
0001-0002-0006,Điều gì đã khiến Paris trở thành nơi trung chuyển trên tòan cầu?,"Là nơi đặt trụ sở chính của các tổ chức quốc tế như OECD, UNESCO... cộng với những họat động đa dạng về tài chính, kinh doanh, chính trị và du lịch","với những họat động đa dạng về tài chính, kinh doanh, chính trị và",True,False,0,0.6086956521739131,1.0,1.781142234802246,8.3654146194458,-1.781142234802246,SPAN_TOO_SHORT
0001-0002-0007,"Trụ sở chính của UNESCO được đặt tại thành phố nào trong số bốn ""thành phố tòan cầu""?",Paris,"với New York, Luân Đôn và",True,False,0,0.0,1.0,-0.5139245986938477,10.560078620910645,0.5139245986938477,WRONG_SPAN
0001-0002-0008,"Ngòai Paris, còn có thành phố nào được đánh giá là thành phố tòan cầu?","New York, Luân Đôn và Tokyo","với New York, Luân Đôn và",True,False,0,0.8333333333333334,1.0,1.4781837463378906,8.670650482177734,-1.4781837463378906,PARTIAL_SPAN
0001-0003-0001,"Trước thế kỷ 17, tại Paris các nơi công cộng thiếu ánh đèn buổi tuối thường có hiện tượng gì?",nhiều tệ nạn,,True,True,0,0.0,1.0,8.932447671890259,1.2255017757415771,-8.932447671890259,ANSWERABLE_PREDICTED_EMPTY
0001-0003-0002,Kinh đô ánh sáng dịch từ tiếng Pháp sang tiếng Anh chính xác là gì?,The City of Lights,là Thành phố,True,False,0,0.0,1.0,2.9970407485961914,7.130603790283203,-2.9970407485961914,WRONG_SPAN
0001-0003-0003,Tên gọi The City of Lights bắt nguồn từ sự việc gì?,"cuối thế kỷ 17, trung tướng cảnh sát đầu tiên của Paris Gabriel Nicolas de La Reynie ra lệnh thắp sáng những khu vực công cộng nhiều tệ nạn của thành phố",đầu từ,True,False,0,0.058823529411764705,1.0,1.3356809616088867,8.77514934539795,-1.3356809616088867,SPAN_TOO_SHORT
